corpid,campaign_id,strategy,updated_time,file_name,drops,checking,cd,money_market,checking_client_households,cd_client_households,money_market_client_households,checking_zip_households,cd_zip_households,money_market_zip_households,checking_penetration,cd_penetration,money_market_penetration,cd_segments,checking_segments,money_market_segments
94506,9e5c875e-0141-5,Comprehensive Strategy,2025-03-09,94506_MCIF_20250309.csv,130,55,8,60,684,179,98,2508,574,983,0.2727,0.3118,0.0997,Low,Med,Med
94507,9e5c875e-0142-1,Comprehensive Strategy,2024-03-21,94507_MCIF_20240321.csv,513,73,28,56,609,275,277,1803,666,1593,0.3378,0.4129,0.1739,Low,Med,High
94507,9e5c875e-0142-2,Comprehensive Strategy,2024-06-19,94507_MCIF_20240619.csv,739,47,25,11,634,90,300,2367,474,1717,0.2678,0.1899,0.1747,High,Med,Low
94508,9e5c875e-0143-1,Comprehensive Strategy,2024-03-28,94508_MCIF_20240328.csv,509,65,22,45,654,229,308,1240,1173,1330,0.5274,0.1952,0.2316,High,High,Low
94508,9e5c875e-0143-2,Comprehensive Strategy,2024-06-26,94508_MCIF_20240626.csv,734,28,43,48,615,236,342,2506,599,705,0.2454,0.394,0.4851,Med,High,High
94508,9e5c875e-0143-3,Comprehensive Strategy,2024-09-24,94508_MCIF_20240924.csv,444,59,41,7,268,170,478,2089,745,1519,0.1283,0.2282,0.3147,Low,High,Low
94508,9e5c875e-0143-4,Comprehensive Strategy,2024-12-23,94508_MCIF_20241223.csv,239,27,38,28,660,239,270,2069,1220,727,0.319,0.1959,0.3714,Med,Med,Low
94509,9e5c875e-0144-1,Comprehensive Strategy,2024-04-04,94509_MCIF_20240404.csv,505,67,18,44,730,248,367,1471,716,1200,0.4963,0.3464,0.3058,Med,Low,Med
94509,9e5c875e-0144-2,Comprehensive Strategy,2024-07-03,94509_MCIF_20240703.csv,764,66,10,56,404,112,149,1055,774,802,0.3829,0.1447,0.1858,Low,Med,Low
94509,9e5c875e-0144-3,Comprehensive Strategy,2024-10-01,94509_MCIF_20241001.csv,399,30,50,50,555,83,361,2165,580,1275,0.2564,0.1431,0.2831,Low,Low,High
94509,9e5c875e-0144-4,Comprehensive Strategy,2024-12-30,94509_MCIF_20241230.csv,216,40,36,6,570,310,194,1318,715,778,0.4325,0.4336,0.2494,Med,Low,Low
94510,9e5c875e-0145-1,Comprehensive Strategy,2024-04-11,94510_MCIF_20240411.csv,519,77,31,54,288,83,238,1603,1017,1518,0.1797,0.0816,0.1568,Med,Low,High
94510,9e5c875e-0145-2,Comprehensive Strategy,2024-07-10,94510_MCIF_20240710.csv,774,76,27,13,328,212,408,979,872,1662,0.335,0.2431,0.2455,Low,Low,Low
94510,9e5c875e-0145-3,Comprehensive Strategy,2024-10-08,94510_MCIF_20241008.csv,453,76,14,24,386,116,301,1915,372,855,0.2016,0.3118,0.352,High,High,Med
94510,9e5c875e-0145-4,Comprehensive Strategy,2025-01-06,94510_MCIF_20250106.csv,268,35,45,40,430,227,345,1511,507,1158,0.2846,0.4477,0.2979,Med,High,Low
94511,9e5c875e-0146-1,Comprehensive Strategy,2024-04-18,94511_MCIF_20240418.csv,524,15,6,10,794,128,167,2643,967,1158,0.3004,0.1324,0.1442,High,Low,Low
94511,9e5c875e-0146-2,Comprehensive Strategy,2024-07-17,94511_MCIF_20240717.csv,729,73,45,39,471,383,187,2142,1009,549,0.2199,0.3796,0.3406,Med,Low,Med
94511,9e5c875e-0146-3,Comprehensive Strategy,2024-10-15,94511_MCIF_20241015.csv,435,68,9,49,694,175,492,2596,790,1401,0.2673,0.2215,0.3512,High,High,Med
94511,9e5c875e-0146-4,Comprehensive Strategy,2025-01-13,94511_MCIF_20250113.csv,257,50,50,25,625,297,317,1542,845,911,0.4053,0.3515,0.348,Low,Med,Med
